0, 190, 46752, 1.849474
1, 207, 47049, 1.687704
2, 207, 49142, 1.606833
3, 207, 47049, 1.684956
4, 207, 49142, 1.609391
5, 207, 46070, 1.680155
6, 60, 46428, 1.709705
7, 207, 46070, 1.659071
8, 60, 46426, 1.780643
9, 190, 46752, 1.769863
10, 207, 46070, 1.558792
11, 207, 46070, 1.617536
12, 207, 47049, 1.656479
13, 207, 46070, 1.569343
14, 46, 46428, 1.609000
15, 207, 49142, 1.664271
16, 207, 46071, 1.620296
17, 207, 49142, 1.677261
18, 207, 47844, 1.582472
19, 46, 48393, 1.656463
20, 207, 47843, 1.574404
21, 87, 46793, 1.669654
22, 207, 46952, 1.681576
23, 71, 47473, 1.760654
24, 87, 45657, 1.680456
25, 207, 46956, 1.584637
26, 711, 49333, 1.708037
27, 207, 46178, 1.602950
28, 126, 45603, 1.541434
29, 207, 46179, 1.611895
30, 127, 45603, 1.617723
31, 126, 46688, 1.579238
32, 47, 48584, 1.604344
33, 47, 48585, 1.576637
34, 671, 49240, 1.613246
35, 247, 46901, 1.611457
36, 150, 46367, 1.708895
37, 366, 48344, 1.631377
38, 643, 46205, 1.564847
39, 111, 46687, 1.659640
40, 678, 48400, 1.691857
41, 47, 48546, 1.655007
42, 366, 45932, 1.783372
43, 47, 47891, 1.578879
44, 3, 46280, 1.629045
45, 726, 48652, 1.703415
46, 47, 47838, 1.473258
47, 629, 47425, 1.601473
48, 683, 48007, 1.630882
49, 682, 46224, 1.831493
50, 404, 48517, 1.768663
51, 87, 48807, 1.574455
52, 87, 48807, 1.632235
53, 694, 45648, 1.558127
54, 47, 47933, 1.627249
55, 126, 47024, 1.601173
56, 286, 45860, 1.532014
57, 3, 49338, 1.544813
58, 47, 49449, 1.642089
59, 3, 49337, 1.618972
60, 207, 47952, 1.645370
61, 682, 46475, 1.713206
62, 87, 47024, 1.779515
63, 206, 46514, 1.527678
64, 4, 46272, 1.624353
65, 669, 47854, 1.587881
66, 418, 45861, 1.666410
67, 413, 49534, 1.589343
